INFO 2024-12-10 14:54:29,686 middleware Продолжительность запроса /update/0SGVFJO9SIV8VXME0J9JZIGXHZKBQOGMHTL42T6HDJ1Z5W8RVLG3QXXI7G6UVXDVOVEZGTFW3MG6VIDMKCGTD2OCLDBJ6DRZWWFT/ - 2.5200444 сек.
INFO 2024-12-10 14:54:29,749 middleware Продолжительность запроса / - 0.0205432 сек.
INFO 2024-12-10 15:02:39,910 middleware Продолжительность запроса / - 0.2369224 сек.
INFO 2024-12-10 15:14:04,239 middleware Продолжительность запроса / - 0.1274351 сек.
INFO 2024-12-10 15:14:09,910 middleware Продолжительность запроса /users/users_trips_current/ - 0.1844898 сек.
INFO 2024-12-10 15:14:12,908 views запись успешно найдена
INFO 2024-12-10 15:14:12,945 middleware Продолжительность запроса /update/0SGVFJO9SIV8VXME0J9JZIGXHZKBQOGMHTL42T6HDJ1Z5W8RVLG3QXXI7G6UVXDVOVEZGTFW3MG6VIDMKCGTD2OCLDBJ6DRZWWFT/ - 0.0846431 сек.
INFO 2024-12-10 15:14:15,822 validators 2024-12-10 15:14:15.822040+00:00
INFO 2024-12-10 15:14:15,823 validators 2024-12-22 13:48:00+00:00
INFO 2024-12-10 15:14:15,825 validators 2024-12-10 15:14:15.825255+00:00
INFO 2024-12-10 15:14:15,826 validators 2024-12-29 13:48:00+00:00
INFO 2024-12-10 15:14:18,178 middleware Продолжительность запроса /update/0SGVFJO9SIV8VXME0J9JZIGXHZKBQOGMHTL42T6HDJ1Z5W8RVLG3QXXI7G6UVXDVOVEZGTFW3MG6VIDMKCGTD2OCLDBJ6DRZWWFT/ - 2.4074918 сек.
INFO 2024-12-10 15:14:18,220 middleware Продолжительность запроса / - 0.0285634 сек.
INFO 2024-12-10 16:15:48,340 middleware Продолжительность запроса / - 0.1306200 сек.
INFO 2024-12-10 16:15:48,868 middleware Продолжительность запроса /favicon.ico - 0.1395350 сек.
INFO 2024-12-10 16:15:52,948 middleware Продолжительность запроса /booking/booked_trips/ - 0.4213043 сек.
INFO 2024-12-10 16:15:56,166 middleware Продолжительность запроса /car_trip/ - 0.1069423 сек.
